dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2015-11-10","2015-11-11","2023-11-14T20:34:34Z","","758577C9-5F87-4024-864D-7F7CF44B17AE","","2015-11-14T00:47:15Z","","2015-11-14T00:47:15Z","","0","CONFIRMED","Menstruation starts (late)","OPAQUE"
"2015-12-23T17:00:00Z","2015-12-23T18:00:00Z","2023-11-14T20:34:34Z","","93D3B1CC-BBFB-44DF-A575-B34BF3064774","","2015-12-22T19:07:35Z","Dr. Yuliya Bababekova ","2015-12-22T19:08:05Z","655 Pelham Pkwy N\nBronx, NY, United States","0","CONFIRMED","Eyeglasses","OPAQUE"
"2016-05-13T13:00:00Z","2016-05-13T20:00:00Z","2023-11-14T20:34:34Z","","67ct9iu63l96vphiaf5k31s7l4@google.com","","2016-05-07T14:02:07Z","","2016-05-07T14:02:07Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-05-12T17:00:00Z","2016-05-12T23:45:00Z","2023-11-14T20:34:34Z","","eg5om8s5dgl99a55slu32os6ho@google.com","","2016-05-07T14:00:28Z","","2016-05-07T14:02:56Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-05-07T19:00:00Z","2016-05-07T22:00:00Z","2023-11-14T20:34:34Z","","a7qlk9kp2vbgmefbs6pt285uc0@google.com","","2016-05-07T14:03:42Z","","2016-05-07T14:04:48Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-05-20T16:00:00Z","2016-05-21T00:00:00Z","2023-11-14T20:34:34Z","","uf8l8nl0r5hbhebunv04c51i6g@google.com","","2016-05-18T23:15:29Z","","2016-05-18T23:15:42Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-05-21T17:00:00Z","2016-05-22T00:00:00Z","2023-11-14T20:34:34Z","","tq2510ofqh25851rulg33qkb0o@google.com","","2016-05-18T23:16:31Z","","2016-05-18T23:16:31Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-05-25T16:15:00Z","2016-05-25T23:30:00Z","2023-11-14T20:34:34Z","","6meouop34hnmne1pbn83o0i56s@google.com","","2016-05-22T17:12:16Z","","2016-05-22T17:12:16Z","","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-05-27T16:00:00Z","2016-05-27T21:00:00Z","2023-11-14T20:34:34Z","","cjiomak0505gj95lebdu4dncps@google.com","","2016-05-22T17:12:16Z","","2016-05-22T17:12:16Z","","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-05-28T15:00:00Z","2016-05-28T22:00:00Z","2023-11-14T20:34:34Z","","qf2d8h5aikusg84t5tmfe05chg@google.com","","2016-05-22T17:12:17Z","","2016-05-22T17:12:17Z","","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-05-23T18:00:00Z","2016-05-23T23:00:00Z","2023-11-14T20:34:34Z","","vbp3lmnde2vr6eo0qdbgrehnig@google.com","","2016-05-22T17:12:17Z","","2016-05-22T17:12:17Z","","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-08-19","2016-08-20","2023-11-14T20:34:34Z","","39E2C0CF-5A7D-4D29-9C5B-C426C3F455F0","","2016-02-29T02:57:43Z","","2016-05-24T01:30:17Z","","1","CONFIRMED","Joel's Birthday","TRANSPARENT"
"2016-04-01","2016-04-02","2023-11-14T20:34:34Z","","i435ulsrvk2jcpi3gkjuhfuo0c@google.com","","2016-05-24T01:30:17Z","","2016-05-24T01:30:17Z","","0","CONFIRMED","Virginia's Birthday","TRANSPARENT"
"2016-09-11","2016-09-12","2023-11-14T20:34:34Z","","jvpkeia3tlqamc40gg97uao714@google.com","","2016-05-24T01:30:18Z","","2016-05-24T01:30:18Z","","0","CONFIRMED","Steven's Birthday","TRANSPARENT"
"2016-05-04","2016-05-05","2023-11-14T20:34:34Z","","nhacvmvsam86mti4psstk608ls@google.com","","2016-05-24T01:30:18Z","","2016-05-24T01:30:18Z","","0","CONFIRMED","Dilcia's Birthday","TRANSPARENT"
"2016-01-11","2016-01-12","2023-11-14T20:34:34Z","","nq1odoplfd9lnh86op4us4c5bs@google.com","","2016-05-24T01:30:19Z","","2016-05-24T01:30:19Z","","0","CONFIRMED","Rafael's Birthday","TRANSPARENT"
"2016-06-03T14:00:00Z","2016-06-03T20:15:00Z","2023-11-14T20:34:34Z","","qr07c14h3vj48nigto2fj2f98g@google.com","","2016-05-29T22:47:44Z","","2016-05-29T22:49:31Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, USA","1","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-06-04T20:00:00Z","2016-06-05T00:15:00Z","2023-11-14T20:34:34Z","","0r4l9us3k6a0jbsa1gfof661a4@google.com","","2016-05-29T22:48:27Z","","2016-05-29T22:50:06Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, USA","1","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-05-30T13:00:00Z","2016-05-30T19:45:00Z","2023-11-14T20:34:34Z","","uq10t3rn2ukmenukuh2uj404v4@google.com","","2016-05-29T22:45:14Z","","2016-05-29T22:50:25Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, USA","1","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-06-01T19:00:00Z","2016-06-02T01:00:00Z","2023-11-14T20:34:34Z","","sgb5jpevb49h05ngthgm40cgro@google.com","","2016-05-29T22:46:22Z","","2016-05-29T22:51:39Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, USA","1","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-06-08T16:45:00Z","2016-06-08T23:00:00Z","2023-11-14T20:34:34Z","","l0ojcjgu9npsau117h1a37u5ug@google.com","","2016-06-05T14:41:15Z","","2016-06-05T14:41:15Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-06-09T18:00:00Z","2016-06-10T01:15:00Z","2023-11-14T20:34:34Z","","l88n87sc87hrtf49kkvc780k70@google.com","","2016-06-05T14:42:09Z","","2016-06-05T14:42:09Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-06-11T16:30:00Z","2016-06-11T21:45:00Z","2023-11-14T20:34:34Z","","f6vb3o2upopg9ocla0t0mo7v9k@google.com","","2016-06-05T14:42:56Z","","2016-06-05T14:42:56Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-06-06T16:30:00Z","2016-06-06T23:00:00Z","2023-11-14T20:34:34Z","","tiebfumfbj3qga11kafpqpa8s4@google.com","","2016-06-05T14:39:21Z","","2016-06-05T17:52:22Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","1","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-06-14T13:00:00Z","2016-06-14T20:00:00Z","2023-11-14T20:34:34Z","","81kcds1h4j34t61sr6ghhgkla8@google.com","","2016-06-13T16:12:17Z","","2016-06-13T16:12:17Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-06-15T16:45:00Z","2016-06-15T23:45:00Z","2023-11-14T20:34:34Z","","hbi5rq62ragch2f1v8rpnfiv7g@google.com","","2016-06-13T16:13:07Z","","2016-06-13T16:13:07Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-06-16T18:00:00Z","2016-06-17T00:15:00Z","2023-11-14T20:34:34Z","","vmfb51js38l03escf4ch5eaiug@google.com","","2016-06-13T16:13:45Z","","2016-06-13T16:13:45Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-06-17T17:00:00Z","2016-06-18T00:00:00Z","2023-11-14T20:34:34Z","","apdb5rjqaodcijbrvss7em9trc@google.com","","2016-06-13T16:14:11Z","","2016-06-17T16:41:30Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-06-21T17:00:00Z","2016-06-22T00:45:00Z","2023-11-14T20:34:34Z","","gcfovkj312kuh8omlgbj146kks@google.com","","2016-06-21T01:17:58Z","","2016-06-21T01:17:58Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, USA","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
"2016-06-25T20:00:00Z","2016-06-26T01:45:00Z","2023-11-14T20:34:34Z","","8l31jjo89kmsngeri7o282jmno@google.com","","2016-06-21T01:19:15Z","","2016-06-21T01:19:15Z","McDonald's, 372 E Fordham Rd, Bronx, NY 10458, United States","0","CONFIRMED","Cashier-McDonald's","OPAQUE"
